SVVSMMU,87,9694,8,46,GEEK
EWSRSWV,15,1222,88,19,MISER
XJBTNFP,55,4969,92,40,MISER
YACDICU,58,3956,100,10,GEEK
KFLYYQI,67,2395,87,18,GENEROUS
NKJIHUY,22,6682,16,34,MISER
KSTHBMV,21,8962,60,26,GEEK
JRGADJQ,82,3140,91,22,GENEROUS
TJPBLWH,89,1460,70,13,MISER
DPTDWVX,57,2435,43,37,GEEK
DKAOORH,60,6610,56,50,GENEROUS
PAVVQDK,96,3896,90,31,MISER
YAHICPR,53,6023,66,3,MISER
JXYELAM,88,5993,27,21,GEEK
FMYJDWB,74,4345,71,2,MISER
VQTHKBK,10,9288,63,36,GEEK
EXOULCH,10,10902,93,31,GENEROUS
UJJXBUN,26,1122,89,8,GENEROUS
JXAXKCR,70,1335,21,28,GEEK
INCGLVJ,100,3884,27,35,MISER
QXBFIHW,7,4079,41,16,MISER
JSJNPGF,75,9270,34,2,MISER
QWWAUDN,59,8011,32,15,GEEK
UXUTFHJ,22,1403,23,49,GEEK
PQSFGMU,69,6162,18,43,GENEROUS
JTPVIVA,98,10686,65,28,GEEK
POWMDGH,61,5125,89,9,GENEROUS
DXFTMFT,100,6476,33,34,GEEK
BTTQLNJ,65,10015,18,32,GENEROUS
NINIGQM,20,2015,55,41,MISER
SBPAMFA,75,4916,87,18,GENEROUS
RYCVIKE,47,3895,30,3,GENEROUS
UVQJGRJ,93,6164,16,33,GEEK
LTJVHWU,6,2802,53,6,GEEK
JPIFEHI,13,4695,90,23,MISER
YFIVPYC,33,4916,49,28,MISER
WXUQIIA,75,8353,51,8,GENEROUS
SOAHIOC,14,3006,56,16,GEEK
ERFIALH,86,10031,45,42,GENEROUS
NEDOFMN,24,8266,18,40,GEEK
BICNIPG,8,2199,43,4,GENEROUS
RYRVBKT,14,4971,35,35,GEEK
FQIOADP,66,9274,40,4,GEEK
CNUDKGM,93,1024,3,6,MISER
XFFIIBP,9,6915,24,40,GENEROUS
GAEUKIG,42,2848,70,33,GENEROUS
CPTDTBE,60,5992,37,32,GENEROUS
WBYXFCG,34,1550,73,5,MISER
MGNGQRN,68,9111,23,35,GENEROUS
EWGAUGW,93,10949,44,49,GEEK
XFMWDUH,96,1113,25,29,MISER
RCSYFFF,88,6860,82,16,GENEROUS
KBLKQPX,63,9745,43,19,MISER
VWRYAOF,63,4354,41,9,MISER
MAEMCUP,17,1964,63,49,GEEK
UHHUHTK,57,6689,20,33,MISER
RCKIWTX,55,7905,77,28,GENEROUS
IJRKALQ,71,10221,71,12,GEEK
HSDAXUH,19,1152,23,45,GENEROUS
FVFBBKN,46,1044,39,36,MISER
VDNWAIE,45,5830,34,2,GEEK
WMHUTLW,54,1310,65,6,MISER
FAUDHWC,6,1462,40,29,GEEK
XRTMCCF,44,10157,62,15,MISER
BDXMQBN,24,1728,80,20,MISER
BBNCHKF,81,9533,62,14,MISER
ALGXFSS,23,5180,50,6,GENEROUS
SYOBXYM,45,1427,46,38,MISER
DTDSIDI,68,8526,80,47,GENEROUS
FSRVWDM,38,6257,1,6,GENEROUS
WIUIPWI,49,5043,35,25,GEEK
WFQAJRL,23,4351,69,21,GEEK
AJWPUGT,63,6800,24,18,MISER
XBRAEWV,55,4417,7,39,GEEK
VCEHOBQ,12,5017,44,45,GENEROUS
MFQBPKA,40,1607,35,43,GEEK
QCRFSAQ,18,4550,14,15,MISER
HVAWIQJ,84,7591,82,42,MISER
KFTSXXO,63,3710,48,44,MISER
PPLDFME,12,9939,83,37,GEEK
JXKACPU,87,6718,46,7,MISER
VRYHEGN,84,5351,43,20,GEEK
HWLDTVQ,38,8561,83,37,GENEROUS
OMJJRED,93,6490,22,42,GENEROUS
TYBFKVC,32,8009,6,23,GENEROUS
RSMKLHX,35,1211,52,32,GEEK
VPVWJQQ,20,3667,43,20,MISER
FTYHOEL,4,5669,53,7,GEEK
YVMDAVE,22,3590,53,13,MISER
RVOUKMG,1,4970,82,7,MISER
GCLBXXT,89,9330,18,11,MISER
VRJDLIM,28,9002,86,8,GEEK
SUMQFBU,11,1428,18,26,MISER
DMEOHOR,20,8667,27,24,GENEROUS
CWUDDUT,80,4367,61,24,MISER
MSOQSAV,77,2736,51,5,MISER
XDDPOXB,3,1602,1,36,MISER
VHMXODT,65,3446,60,4,GENEROUS
EMDEYFT,74,10264,57,26,GENEROUS
SBCHVGX,82,4897,89,11,MISER
